entrada	uf	saida_esperada
São Paulo	SP	SAO PAULO
Cidade de São Paulo	SP	SAO PAULO
Cidade Gaúcha	RS	CIDADE GAUCHA
Santa Bárbara d'Oeste	SP	SANTA BARBARA OESTE
Alta Floresta D'Oeste	RO	ALTA FLORESTA OESTE
Pau D'Arco	TO	PAU ARCO
Mãe d'Água	PB	MAE AGUA
Olho d'Água das Flores	AL	OLHO AGUA FLORES
Sant'Ana do Livramento	RS	SANTANA LIVRAMENTO
Santana do Livramento	RS	SANTANA LIVRAMENTO
Sant Ana do Livramento	RS	SANTANA LIVRAMENTO
Abreu e Lima	PE	ABREU E LIMA
Pontes e Lacerda	MT	PONTES E LACERDA
Passa e Fica	RN	PASSA E FICA
Lagoa dos Patos	RS	LAGOA PATOS
